model_a,model_b,b,c,statistic,pvalue
ResNet50,Xception,11,12,0.0,1.0
ResNet50,DenseNet121,8,10,0.05555555555555555,0.8136637157667919
ResNet50,VGG16,5,7,0.08333333333333333,0.7728299926844475
ResNet50,CNN,8,12,0.45,0.502334954360502
ResNet50,CNN (Tanh+ReLU),24,11,4.114285714285714,0.042522477998051644
ResNet50,ENSEMBLE,3,10,2.769230769230769,0.09609232945567359
Xception,DenseNet121,11,12,0.0,1.0
Xception,VGG16,11,12,0.0,1.0
Xception,CNN,7,10,0.23529411764705882,0.6276258050283593
Xception,CNN (Tanh+ReLU),25,11,4.694444444444445,0.030260280020471653
Xception,ENSEMBLE,3,9,2.0833333333333335,0.14891467317876161
DenseNet121,VGG16,7,7,0.0,1.0
DenseNet121,CNN,10,12,0.045454545454545456,0.8311704095417624
DenseNet121,CNN (Tanh+ReLU),26,11,5.297297297297297,0.021358540433834672
DenseNet121,ENSEMBLE,5,10,1.0666666666666667,0.3016995824783478
VGG16,CNN,10,12,0.045454545454545456,0.8311704095417624
VGG16,CNN (Tanh+ReLU),25,10,5.6,0.017960477526078766
VGG16,ENSEMBLE,4,9,1.2307692307692308,0.26725749315438785
CNN,CNN (Tanh+ReLU),19,2,12.19047619047619,0.00048034119998185965
CNN,ENSEMBLE,3,6,0.4444444444444444,0.5049850750938457
CNN (Tanh+ReLU),ENSEMBLE,2,22,15.041666666666666,0.0001051635540336715
