model,score,target_coverage,qhat,coverage,mean_size,set_size_distribution,singleton_correct_rate,abstain_rate,empty_rate
ResNet50,lac,0.9,0.12944930791854858,0.9036363636363637,0.9272727272727272,"{1: 510, 0: 40}",0.9745098039215686,0.0,0.07272727272727272
ResNet50,aps,0.9,0.9025004104893474,0.8872727272727273,0.96,"{1: 480, 0: 46, 2: 24}",0.9666666666666667,0.04363636363636364,0.08363636363636363
Xception,lac,0.9,0.18367469310760498,0.9254545454545454,0.9509090909090909,"{1: 523, 0: 27}",0.9732313575525813,0.0,0.04909090909090909
Xception,aps,0.9,0.8949601734427598,0.8836363636363637,0.9690909090909091,"{1: 473, 0: 47, 2: 30}",0.9640591966173362,0.05454545454545454,0.08545454545454545
DenseNet121,lac,0.9,0.16125917434692383,0.8909090909090909,0.9127272727272727,"{1: 502, 0: 48}",0.9760956175298805,0.0,0.08727272727272728
DenseNet121,aps,0.9,0.886617679697364,0.8836363636363637,0.9709090909090909,"{1: 468, 0: 49, 2: 33}",0.967948717948718,0.06,0.0890909090909091
VGG16,lac,0.9,0.10198289155960083,0.9127272727272727,0.9309090909090909,"{1: 512, 0: 38}",0.98046875,0.0,0.06909090909090909
VGG16,aps,0.9,0.9094928751483817,0.8927272727272727,0.9618181818181818,"{1: 481, 2: 24, 0: 45}",0.9708939708939709,0.04363636363636364,0.08181818181818182
CNN,lac,0.9,0.18663406372070312,0.9181818181818182,0.9490909090909091,"{1: 522, 0: 28}",0.9674329501915708,0.0,0.05090909090909091
CNN,aps,0.9,0.8925224524228362,0.8909090909090909,0.9781818181818182,"{1: 476, 0: 43, 2: 31}",0.9642857142857143,0.056363636363636366,0.07818181818181819
CNN (Tanh+ReLU),lac,0.9,0.38953685760498047,0.9072727272727272,0.9581818181818181,"{1: 527, 0: 23}",0.9468690702087287,0.0,0.04181818181818182
CNN (Tanh+ReLU),aps,0.9,0.9077320279505747,0.9054545454545454,1.049090909090909,"{1: 471, 2: 53, 0: 26}",0.9447983014861996,0.09636363636363636,0.04727272727272727
ENSEMBLE,lac,0.9,0.17545080184936523,0.9054545454545454,0.9254545454545454,"{1: 509, 0: 41}",0.9783889980353635,0.0,0.07454545454545454
ENSEMBLE,aps,0.9,0.8706076654118128,0.8727272727272727,0.9509090909090909,"{1: 463, 0: 57, 2: 30}",0.9719222462203023,0.05454545454545454,0.10363636363636364
ResNet50,lac,0.95,0.39299118518829346,0.9472727272727273,0.9890909090909091,"{1: 544, 0: 6}",0.9577205882352942,0.0,0.01090909090909091
ResNet50,aps,0.95,0.9578565483504822,0.9563636363636364,1.0836363636363637,"{1: 476, 2: 60, 0: 14}",0.9789915966386554,0.10909090909090909,0.025454545454545455
Xception,lac,0.95,0.46717000007629395,0.9563636363636364,1.0,{1: 550},0.9563636363636364,0.0,0.0
Xception,aps,0.95,0.9530378488874929,0.9509090909090909,1.0945454545454545,"{1: 464, 2: 69, 0: 17}",0.978448275862069,0.12545454545454546,0.03090909090909091
DenseNet121,lac,0.95,0.44061410427093506,0.9472727272727273,0.9890909090909091,"{1: 544, 0: 6}",0.9577205882352942,0.0,0.01090909090909091
DenseNet121,aps,0.95,0.942111577819564,0.9454545454545454,1.0727272727272728,"{1: 472, 2: 59, 0: 19}",0.9766949152542372,0.10727272727272727,0.034545454545454546
VGG16,lac,0.95,0.3721599578857422,0.9490909090909091,0.9818181818181818,"{1: 540, 0: 10}",0.9666666666666667,0.0,0.01818181818181818
VGG16,aps,0.95,0.9699818069421818,0.9563636363636364,1.0672727272727274,"{1: 481, 2: 53, 0: 16}",0.9833679833679834,0.09636363636363636,0.02909090909090909
CNN,lac,0.95,0.4814087152481079,0.96,1.0,{1: 550},0.96,0.0,0.0
CNN,aps,0.95,0.9390653119530731,0.9454545454545454,1.089090909090909,"{1: 469, 2: 65, 0: 16}",0.9701492537313433,0.11818181818181818,0.02909090909090909
CNN (Tanh+ReLU),lac,0.95,0.7422033548355103,0.9545454545454546,1.0745454545454545,"{1: 509, 2: 41}",0.9508840864440079,0.07454545454545454,0.0
CNN (Tanh+ReLU),aps,0.95,0.9504545046618091,0.9472727272727273,1.2054545454545456,"{1: 419, 2: 122, 0: 9}",0.9522673031026253,0.22181818181818183,0.016363636363636365
ENSEMBLE,lac,0.95,0.336439847946167,0.9527272727272728,0.9745454545454545,"{1: 536, 0: 14}",0.9776119402985075,0.0,0.025454545454545455
ENSEMBLE,aps,0.95,0.9393883795628576,0.9563636363636364,1.0963636363636364,"{1: 469, 2: 67, 0: 14}",0.9786780383795309,0.12181818181818181,0.025454545454545455
